"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Empresa - Razao Social vazia retorna 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"Tipo desconhecido (nao mapeado em GooglePlaceTypeMapping)
deve retornar 400 com mensagem de ValidationException.","31","Import Google Maps - tipo nao suportado retorna 400","","Sun May 24 22:45:22 UTC 2026","passed","Sun May 24 22:45:22 UTC 2026","Google Maps Import","Suites","",""
"","15","Empresa - CNAE com letras retorna 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"Cria dois pontos de tipos diferentes, lista filtrando por tipo, deleta.","129","Pontos Institucionais - CRUD com filtro por tipo","","Sun May 24 22:45:21 UTC 2026","passed","Sun May 24 22:45:21 UTC 2026","Caminho Feliz","Suites","",""
"Cria → busca por id → lista → atualiza → confirma update → deleta → confirma deletado.","691","Telefones Uteis - CRUD completo","","Sun May 24 22:45:20 UTC 2026","passed","Sun May 24 22:45:21 UTC 2026","Caminho Feliz","Suites","",""
"","16","Empresa - CNPJ com letras retorna 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"Validation filter aplica tanto em Create quanto Update.
Cria empresa valida primeiro, depois tenta atualizar com
CNPJ invalido.","42","Empresa - PUT com CNPJ malformado retorna 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"Admin clica em Excluir na linha; navegador mostra
window.confirm(""Deseja realmente excluir..."") que
aceitamos via Browser library; linha some do filtro
""ativo""; GET confirma Status=Inativo.","687","Excluir empresa via UI: soft-delete confirmado por API","","Sun May 24 22:45:29 UTC 2026","passed","Sun May 24 22:45:30 UTC 2026","Ui Crud Admin Completo","Suites","",""
"Dispara import com tipo=loja (mapping retorna 2 lugares),
valida que ambas foram criadas com Status=AguardandoRevisao,
e que aparecem no filtro ?status=aguardando-revisao.","508","Import Google Maps - cria empresas com Status AguardandoRevisao","","Sun May 24 22:45:21 UTC 2026","passed","Sun May 24 22:45:22 UTC 2026","Google Maps Import","Suites","",""
"Login admin -> importar tipo ""banco"" -> WireMock devolve
1 lugar com PlaceId proprio pra UI (nao colide com suite
04 que usa tipo=loja+supermercado) -> empresa criada com
Status=AguardandoRevisao -> clica em ""Ir para revisar""
-> redireciona pra Gestao Empresas -> filtra
aguardando-revisao -> verifica que aparece.

Tipo ""banco"" exclusivo pra essa suite porque outros tipos
ja tem PlaceIds gravados no banco por runs anteriores
(soft delete preserva GooglePlaceId, dedup nao cria
novas). Sem PlaceId fresco, result.criados=0 e o botao
""Ir para revisar"" nao renderiza.","1238","Import com criados aparece em ""Aguardando revisao"" na Gestao Empresas","","Sun May 24 22:45:27 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Ui Google Maps Import","Suites","",""
